link,collected_at,repo_id,repo_name,query,title,tag_matched_keywords,tag_matched_concepts,tag_is_duplicate,tag_duplicate_of,tag_topic_relevance_score,tag_topic_relevance_confidence,include,exclusion_reason
https://repositorio.ufba.br/handle/ri/3094,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,"As maquinetas do recolhimento dos humildes ; definições, notícias , iconografia  e tipologia",[],[],,,0,0.0156,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/21931,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,O Elemento Sócio-Histórico e a Administração: Cornelius Castoriadis e a Literatura de Jorge Amado,[],[],,,0,0.0168,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/32313,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,Cachoeira cidade criativa: uma análise do potencial criativo da cidade de Cachoeira,[],[],,,0,0.0144,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/31350,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,A porta 13: projeto de roteiro audiovisual,[],[],,,0,0.0084,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/27213,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,O urânio e seus problemas: a formação dos públicos em torno da questão nuclear em Caetité/BA,[],[],,,0,0.0192,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/36877,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,Análise do consumo de drinks com cachaça antes e depois de uma consultoria de bar em um restaurante no bairro Santo Antônio além do Carmo em Salvador Ba,,,true,21,,,false,Duplicate of 21
https://repositorio.ufba.br/handle/ri/10003,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Estudo de compostos carbonílicos e os respectivos ácidos hidroxialquilsulfônicos em vinhos,[],[],,,0,0.013199999999999998,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/22078,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,"Contrato que se fez no Conselho Ultramarino com José Manoel de Sousa Lobo, do rendimento da agua ardente, e vinhos de mel da Bahia [...]",[],[],,,0,0.03,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/10741,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,"Desenvolvimento de método analítico para a determinação de cádmio em vinho e estudo preliminar de especiação de cádmio, ferro, manganês, zinco e cobre em vinho",[],[],,,0,0.03,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/8731,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Avaliação química e sensorial de vinhos tintos produzidos nas regiões do “Vale do São Francisco” e da “Serra Gaúcha”,[],[],,,0,0.022799999999999997,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/8740,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Uso de metodologias combinadas de análise sensorial e químico-analíticas para controle de qualidade de vinhos espumantes nacionais,[],[],,,0,0.0204,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/9734,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Determinação de trans-resveratrol em vinhos tintos por meio de calibração multivariada,[],[],,,0,0.013199999999999998,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/3887,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Efeito da presença e concentração de compostos carbonílicos na qualidade de vinhos,[],[],,,0,0.0144,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/10675,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Determinação de compostos fenólicos em vinhos e caracterização de vinhos eleborados na região do vale do São Francisco Pernambuco,[],[],,,0,0.022799999999999997,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/20242,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Estudo de compostos carbonílicos e os respectivos ácidos hidroxialquilsulfônicos em vinhos,,,true,61,,,false,Duplicate of 61
https://repositorio.ufba.br/handle/ri/4957,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Multivariate optimization and validation of an analytical method for the determination of cadmium in wines employing ET AAS,[],[],,,0,0.021599999999999998,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/16815,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,"Determination of N,N-dimethyltryptamine in beverages consumed in religious practices by headspace solid-phase microextraction followed by gas chromatography ion trap mass spectrometry",[],[],,,0,0.0252,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/8792,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Identificação das leveduras isoladas de uvas cultivadas no Vale do Submédio São Francisco e sua utilização na fermentação do mosto de uva,[],[],,,0,0.026399999999999996,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/18980,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,O marketing territorial nas indicações geográficas: um estudo da Denominação de Origem Vale dos Vinhedos - RS,[],[],,,0,0.0204,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/38302,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Significados socioculturais de rituais de futebol em Salvador-BA: os babas “de saia” e “do vinho”,[],[],,,0,0.018,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/19076,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Desenvolvimento e aplicação de método multirresíduo por SDME/GC-MS  para a determinação de 19 pesticidas em amostras de água de coco e vinho branco,[],[],,,0,0.0276,false,Topic relevance score (0.00) below minimum threshold (0.10)
